months,occupancy_rates,daily_rates,monthly_revenue,monthly_expenses,monthly_net_operating_income
Jan,0.267,232.0,1858.0,557.0,1301.0
Feb,0.357,240.0,2570.0,771.0,1799.0
Mar,0.325,272.0,2652.0,796.0,1856.0
Apr,0.487,232.0,3390.0,1017.0,2373.0
May,0.483,224.0,3246.0,974.0,2272.0
Jun,0.594,208.0,3707.0,1112.0,2595.0
Jul,0.74,216.0,4795.0,1439.0,3357.0
Aug,0.708,220.0,4673.0,1402.0,3271.0
Sep,0.497,218.0,3256.0,977.0,2279.0
Oct,0.562,176.0,2967.0,890.0,2077.0
Nov,0.381,168.0,1920.0,576.0,1344.0
Dec,0.493,272.0,4023.0,1207.0,2816.0
